Mean of 9am relative humidity (%),,,,,,,,,,,,,
Data are mean monthly values for the 1981-2010 period for locations having at least 5 complete years of data,,,,,,,,,,,,,
Station details are available in separate table,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
------------------------------,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------
Kaitaia,86.6,88.2,86.8,86.9,88.8,90.2,89.5,88.1,86.8,85.6,83.8,85.5,87.3
Whangarei ,80.4,83.5,84.2,86.0,88.0,89.5,88.9,86.1,81.2,79.8,77.2,78.0,83.6
Auckland,79.3,79.8,80.3,83.0,85.8,89.8,88.9,86.2,81.3,78.5,77.2,77.6,82.2
Tauranga ,74.4,77.7,77.7,80.4,83.3,85.5,84.1,81.9,77.4,75.2,73.4,74.8,78.8
Hamilton,80.5,84.3,84.7,86.4,89.9,91.4,90.8,88.2,83.2,81.9,79.1,79.9,84.9
Rotorua ,78.8,81.4,81.5,83.4,87.1,87.5,87.3,85.9,81.6,79.7,77.2,78.9,82.4
Gisborne ,70.8,77.6,77.7,79.4,81.4,82.0,82.9,79.0,73.2,71.2,68.5,69.0,76.1
Taupo ,77.2,79.2,80.1,82.3,86.3,87.4,87.6,84.8,81.0,79.3,76.2,77.4,81.6
New Plymouth ,80.9,82.5,81.8,82.4,85.4,86.1,85.7,84.4,82.7,82.8,80.1,81.4,83.1
Napier,69.9,73.9,74.6,77.1,78.7,79.9,79.6,76.0,69.2,67.3,67.8,67.0,72.7
Wanganui,74.4,78.9,78.1,80.3,83.5,84.2,85.0,82.2,76.8,75.6,73.3,74.4,78.7
Palmerston North,75.3,77.7,79.4,81.2,85.8,86.8,86.8,84.6,79.7,80.5,76.7,76.0,80.9
Masterton,76.0,82.9,84.2,87.0,89.5,91.3,91.1,89.6,83.5,79.0,78.8,76.9,84.2
Wellington,81.0,83.3,82.6,83.2,85.2,86.1,86.3,84.7,80.8,81.3,79.7,80.7,83.0
Nelson ,74.4,78.5,79.6,83.0,87.8,89.6,90.0,86.6,79.7,76.9,73.7,74.2,81.2
Blenheim ,68.7,74.2,74.9,77.5,81.5,82.3,83.7,80.8,73.3,72.1,67.7,67.5,75.5
Westport ,83.6,85.5,84.6,85.0,86.6,86.4,84.2,84.6,82.7,82.4,80.6,82.8,83.9
Kaikoura,75.1,77.1,75.3,73.9,71.9,70.6,71.3,70.6,70.1,72.5,73.0,74.4,73.3
Hokitika ,83.6,86.7,85.3,85.6,87.1,87.2,85.2,83.9,81.7,81.8,80.9,83.2,84.3
Christchurch ,81.1,86.2,86.0,89.0,91.4,92.0,92.0,87.6,79.6,78.9,78.1,78.9,84.8
Mt Cook,75.1,78.6,79.5,79.3,81.7,83.2,80.7,80.4,72.4,72.5,73.8,75.7,77.9
Lake Tekapo,66.8,74.9,75.3,76.9,78.7,83.9,83.1,81.2,72.5,68.7,65.0,67.4,73.1
Timaru ,77.7,83.5,83.8,85.4,85.6,85.0,85.4,83.7,78.7,77.3,75.2,76.3,81.5
Milford Sound,91.5,92.7,93.2,94.1,93.8,94.2,93.3,93.2,92.5,91.0,88.4,89.2,92.3
Queenstown ,70.2,74.3,75.8,78.4,81.1,83.8,83.3,80.5,73.1,70.9,67.5,69.4,76.2
Alexandra,70.1,77.5,80.0,84.5,86.8,89.1,89.3,85.1,74.5,72.7,67.8,69.0,76.6
Manapouri ,78.5,83.6,85.3,88.9,90.8,91.4,91.4,91.4,85.4,82.6,76.4,76.3,85.1
Dunedin,74.2,77.6,77.1,76.9,79.5,79.7,80.2,77.6,72.1,71.6,70.6,73.2,75.9
Invercargill ,80.6,83.3,84.2,85.3,87.0,87.7,88.1,85.8,81.3,80.0,78.2,78.6,83.3
Chatham Islands,82.2,83.5,83.2,83.4,85.7,85.8,86.9,85.8,83.4,84.0,82.5,82.7,84.1
