Kaitaia,15.1,15.5,14.2,13.0,11.1,9.2,8.5,8.6,9.7,10.8,11.9,13.8,11.8
Whangarei ,15.5,16.1,14.7,12.8,10.8,8.7,7.8,8.2,9.3,10.7,12.3,14.2,11.8
Auckland ,15.2,15.8,14.4,12.1,10.3,8.1,7.1,7.5,8.9,10.4,12.0,14.0,11.3
Tauranga ,14.8,15.3,13.5,11.0,9.0,6.6,5.9,6.4,8.0,9.7,11.4,13.6,10.4
Hamilton,12.9,13.2,11.4,9.1,6.9,4.7,4.0,4.9,6.7,8.4,9.9,11.9,8.7
Rotorua ,12.6,13.0,11.1,8.5,6.3,4.3,3.5,4.1,5.8,7.6,9.2,11.5,8.1
Gisborne ,13.9,14.0,12.5,9.8,7.5,5.6,5.3,5.6,7.0,8.9,10.7,12.9,9.5
Taupo ,11.4,11.6,9.5,6.8,4.8,3.0,2.1,2.7,4.5,6.4,7.9,10.5,6.7
New Plymouth ,13.8,13.9,12.7,10.4,8.5,6.8,5.8,6.6,8.0,9.5,10.9,12.7,10.0
Napier,14.6,14.6,12.7,10.0,7.4,5.1,4.7,5.4,7.3,9.4,11.2,13.7,9.7
Wanganui,14.0,14.1,12.7,10.3,8.5,6.8,5.6,6.4,8.1,9.6,10.9,13.0,10.0
Palmerston North,12.5,13.0,11.2,8.6,6.9,4.9,4.6,5.0,6.6,8.1,9.3,11.5,8.6
Masterton,11.8,11.4,10.6,7.5,5.5,4.0,3.1,3.7,5.6,7.1,8.7,10.7,7.5
Wellington,13.5,13.8,12.6,10.7,9.1,7.2,6.3,6.7,7.9,9.0,10.3,12.2,9.9
Nelson ,13.2,13.3,11.3,8.3,5.5,2.7,1.9,3.4,5.7,7.8,9.8,12.0,7.9
Blenheim ,11.8,11.5,9.8,6.9,4.5,2.2,1.5,2.6,4.7,6.5,8.4,10.8,6.8
Westport ,12.6,12.8,11.4,9.5,7.5,5.5,4.8,5.5,7.2,8.3,9.7,11.6,9.0
Kaikoura,12.8,13.0,11.7,9.9,8.2,6.1,5.3,5.8,7.0,8.1,9.5,11.5,9.1
Hokitika ,11.8,12.0,10.4,8.3,6.1,4.0,2.9,4.1,5.9,7.3,8.8,10.7,7.7
Christchurch ,12.3,12.2,10.4,7.7,4.9,2.3,1.9,3.2,5.2,7.1,8.9,11.0,7.3
Mt Cook,9.0,8.8,6.8,4.0,1.5,-1.0,-2.2,-0.8,1.5,3.6,5.4,7.3,3.7
Lake Tekapo,8.7,8.3,6.1,3.5,1.1,-1.8,-3.0,-1.1,1.1,3.0,5.1,7.0,3.1
Timaru ,10.3,10.1,8.2,5.1,2.5,-0.2,-0.6,0.8,2.8,4.7,6.6,9.1,4.9
Milford Sound,10.4,10.3,8.8,6.6,4.5,2.2,1.3,2.4,4.1,5.7,7.5,9.3,6.1
Queenstown ,9.8,9.4,7.2,4.3,2.3,-0.3,-1.7,0.2,2.5,4.3,6.0,8.3,4.4
Alexandra,10.8,10.1,7.3,3.8,1.5,-1.5,-2.4,-0.5,2.2,4.4,6.7,9.3,4.2
Manapouri ,8.5,8.0,6.1,4.0,2.3,0.3,-0.7,0.2,2.1,3.6,4.9,7.0,4.0
Dunedin,11.6,11.5,10.2,8.2,5.9,4.0,3.1,4.2,5.9,7.2,8.6,10.4,7.6
Invercargill ,9.6,9.3,7.9,5.8,3.8,1.9,1.0,2.2,4.0,5.4,7.0,8.6,5.5
Chatham Islands,11.9,12.3,11.5,9.9,8.1,6.8,5.9,6.2,6.9,8.0,9.1,10.7,8.9
