Wet Days - Mean Number Of Days per month With 1mm Or More Of Rain,,,,,,,,,,,,,
Data are mean monthly values for the 1981-2010 period for locations having at least 5 complete years of data,,,,,,,,,,,,,
Station details are available in separate table,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
------------------------------,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------
Kaitaia,7.1,6.8,7.5,10.6,13.0,14.7,16.1,15.5,13.2,11.1,9.2,9.6,134.4
Whangarei,7.9,7.9,9.3,9.8,12.5,13.9,14.8,14.8,12.6,10.5,9.4,8.7,131.6
Auckland,8.0,7.1,8.4,10.6,12.0,14.8,16.0,14.9,12.8,12.0,10.3,9.3,135.7
Tauranga,6.4,7.0,8.0,8.4,8.6,10.9,11.5,11.8,10.4,10.3,9.1,8.2,109.6
Hamilton,7.8,6.2,7.7,8.4,11.0,12.6,12.8,13.3,11.7,11.7,10.7,10.5,124.8
Rotorua,8.2,7.4,8.5,8.2,9.5,11.2,11.0,11.6,11.3,10.9,9.4,10.0,118.2
Gisborne,6.4,7.4,9.4,8.8,9.8,10.8,12.4,10.7,9.0,8.1,7.9,7.0,106.9
Taupo ,7.7,6.7,7.3,7.4,8.7,10.9,10.9,11.4,10.7,10.6,8.2,9.2,108.5
New Plymouth ,8.9,7.7,9.8,9.8,12.3,13.6,12.6,13.4,12.6,14.1,10.5,9.5,135.5
Napier,6.0,5.9,7.2,7.1,7.9,8.8,9.4,8.2,7.4,7.5,6.0,6.5,88.1
Wanganui,7.0,7.1,7.9,8.0,10.3,12.1,11.3,11.7,10.4,10.8,9.1,10.1,115.9
Palmerston North,7.1,6.9,7.7,8.2,9.9,12.2,11.6,13.0,11.9,11.8,10.3,11.1,120.7
Masterton,7.1,7.6,10.1,9.2,11.0,13.2,14.1,14.1,11.7,12.8,10.0,9.7,129.8
Wellington,7.2,7.0,8.7,8.7,10.8,13.4,12.6,12.5,10.6,12.1,9.3,8.8,122.2
Nelson,6.8,5.8,6.6,6.5,7.3,8.2,7.8,8.6,9.9,9.4,7.9,8.6,92.9
Blenheim ,5.0,5.1,5.5,5.3,6.7,7.9,7.6,8.0,8.5,8.3,6.9,6.7,81.8
Westport ,12.3,10.2,12.2,12.0,15.1,16.3,14.1,15.4,17.4,17.4,14.6,15.8,173.7
Kaikoura,6.9,6.5,6.7,6.8,6.9,7.9,8.5,6.2,6.0,7.8,6.8,6.9,83.9
Hokitika ,12.4,10.9,12.6,12.9,15.0,14.9,13.3,14.7,17.1,17.1,14.6,16.9,172.4
Christchurch ,5.8,5.6,6.2,6.7,7.6,8.9,8.2,8.2,6.1,6.9,6.5,7.3,83.9
Mt Cook,12.4,10.9,13.4,12.4,13.1,13.8,13.5,13.9,13.7,16.7,13.9,15.7,164.2
Lake Tekapo,5.8,5.3,5.5,6.0,6.7,7.5,6.5,7.4,7.3,7.6,6.2,7.1,79.2
Timaru ,6.8,6.7,6.2,5.7,5.7,5.3,5.8,5.7,5.8,7.1,6.8,8.0,75.6
Milford Sound,15.9,13.1,14.9,14.5,16.0,15.5,14.1,16.1,17.3,18.5,15.4,17.7,188.7
Queenstown ,7.2,6.2,7.4,7.4,9.0,9.2,6.9,9.1,8.5,8.8,7.6,9.6,96.9
Alexandra,6.7,5.2,4.9,4.0,6.9,5.8,4.3,4.4,5.4,5.5,4.8,7.7,64.7
Manapouri ,9.1,7.9,9.7,10.5,11.6,12.9,10.4,11.8,12.4,12.2,10.3,11.9,125.9
Dunedin,9.7,8.5,8.9,8.3,9.8,9.4,9.3,9.6,8.7,10.1,10.0,12.0,113.8
Invercargill ,13.0,10.3,12.3,12.3,15.3,15.6,14.2,12.8,13.1,13.8,13.3,14.3,161.0
Chatham Islands,7.9,7.7,11.3,11.1,14.4,16.0,14.8,14.5,11.9,11.2,9.8,9.4,138.5
