NORMALS 1971-2000               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
13876BIRMINGHAM AP,AL                 30   42.6   46.8   54.5   61.3   69.3   76.4   80.2   79.6   73.8   62.9   53.1   45.6   62.2
63804HUNTSVILLE, AL                   30   39.8   44.3   52.3   60.4   68.6   76.0   79.5   78.6   72.4   61.3   51.2   43.1   60.6
13838MOBILE, AL                       30   50.1   53.5   60.2   66.1   73.5   79.3   81.5   81.3   77.2   67.7   58.9   52.3   66.8
13821MONTGOMERY, AL                   30   46.6   50.5   57.9   64.3   72.3   78.9   81.8   81.2   76.3   65.4   56.1   49.0   65.0
26451ANCHORAGE, AK                    30   15.8   18.7   25.9   36.3   46.9   54.7   58.4   56.4   48.2   34.1   21.8   17.5   36.2
25308ANNETTE, AK                      30   35.1   37.1   39.5   43.8   49.4   54.3   58.2   58.6   53.8   46.5   39.7   36.4   46.0
27516BARROW, AK                       30  -13.7  -15.9  -13.7   -0.5   20.1   35.0   40.4   38.7   31.2   14.6   -0.9  -10.6   10.4
26615BETHEL, AK                       30    6.6    7.6   14.5   25.9   41.3   51.4   56.0   53.6   45.4   30.0   17.4    9.4   29.9
26533BETTLES,AK                       30  -11.2   -7.9    4.2   22.4   44.3   57.8   60.2   53.5   41.0   18.7   -0.8   -7.4   22.9
26415BIG DELTA,AK                     30   -2.6    2.3   14.2   32.1   47.8   57.5   60.8   55.5   44.4   24.1    6.4    0.1   28.6
25624COLD BAY,AK                      30   28.2   27.6   30.0   33.5   39.8   45.9   50.6   51.8   47.8   40.0   34.5   31.0   38.4
26411FAIRBANKS, AK                    30   -9.7   -3.8   11.1   31.7   48.8   59.7   62.4   56.2   44.5   23.5    2.3   -5.9   26.7
26425GULKANA,AK                       30   -4.7    3.2   15.3   31.1   43.9   53.1   57.0   53.1   43.1   26.4    5.5   -1.6   27.1
25507HOMER, AK                        30   23.4   24.9   29.4   36.4   43.7   50.0   54.1   53.8   47.9   37.8   29.4   25.8   38.1
25309JUNEAU, AK                       30   25.7   28.9   33.7   40.8   47.9   53.9   56.8   55.7   50.0   42.3   33.3   28.7   41.5
25503KING SALMON, AK                  30   15.4   15.6   23.5   33.1   43.5   50.9   55.7   54.8   47.6   33.3   23.2   17.2   34.5
25501KODIAK, AK                       30   29.7   29.9   32.6   37.3   43.5   49.2   54.1   55.0   49.4   40.3   34.0   30.6   40.5
26616KOTZEBUE, AK                     30   -2.5   -3.5   -0.3   11.5   31.6   44.8   54.7   52.1   41.8   23.2    8.3   -0.2   21.8
26510MCGRATH, AK                      30   -6.7   -0.9   11.8   29.1   46.2   56.7   59.8   54.9   44.7   25.3    5.8   -3.8   26.9
26617NOME, AK                         30    5.8    5.7    9.4   19.6   37.1   47.3   52.6   50.6   42.9   28.5   16.9    8.4   27.1
25713ST. PAUL ISLAND, AK              30   25.7   23.3   24.2   28.4   35.7   41.9   46.7   48.4   45.0   38.3   33.1   28.8   35.0
26528TALKEETNA, AK                    30   11.0   15.4   22.6   34.3   45.8   55.3   58.9   55.6   46.2   31.4   17.5   13.0   33.9
26627UNALAKLEET, AK                   30    3.3    4.3   10.7   22.7   39.5   49.0   55.5   53.1   43.6   26.5   12.6    6.1   27.2
26479VALDEZ, AK                       30   21.9   24.8   29.8   37.7   45.8   52.2   55.2   53.6   47.1   38.2   28.3   24.7   38.3
25339YAKUTAT, AK                      30   25.8   28.4   31.5   37.2   43.6   49.7   53.6   53.3   48.2   41.1   32.4   28.6   39.5
03103FLAGSTAFF, AZ                    30   29.7   32.2   36.6   42.9   50.8   60.1   66.1   64.4   57.8   47.1   36.5   30.2   46.2
53156PHOENIX, AZ                      30   56.1   59.9   64.6   71.2   80.7   89.8   94.8   93.1   87.3   74.9   62.7   55.5   74.2
53131TUCSON, AZ                       30   51.7   55.0   59.2   66.0   74.5   84.1   86.5   84.9   80.9   70.5   58.7   51.9   68.7
23194WINSLOW, AZ                      30   34.2   40.0   46.3   53.4   62.2   72.1   77.5   75.6   68.2   55.9   43.2   34.1   55.2
53154YUMA, AZ                         30   58.1   62.0   66.5   72.7   79.9   88.8   94.1   93.5   88.2   77.2   64.8   57.4   75.3
13964FORT SMITH, AR                   30   38.0   43.7   52.6   61.1   69.5   77.5   82.2   81.5   73.9   62.8   50.5   41.0   61.2
13963LITTLE ROCK, AR                  30   40.1   45.2   53.4   61.4   70.1   78.4   82.4   81.3   74.4   63.3   51.7   43.2   62.1
03952NORTH LITTLE ROCK, AR            30   40.2   45.6   54.3   63.0   70.9   78.8   83.2   82.1   75.0   64.5   52.5   43.4   62.8
23155BAKERSFIELD, CA                  30   47.8   53.3   57.3   62.7   70.3   77.7   83.1   81.9   76.7   67.2   54.8   47.2   65.0
23157BISHOP, CA                       30   38.0   42.4   47.7   54.1   62.5   71.1   76.8   74.8   67.3   56.6   44.8   38.0   56.2
24213EUREKA, CA.                      30   47.9   48.9   49.2   50.7   53.6   56.3   58.1   58.7   57.4   54.5   51.0   47.9   52.9
93193FRESNO, CA                       30   46.0   51.4   55.5   61.2   68.8   76.1   81.4   79.9   74.6   65.0   52.7   45.2   63.2
23129LONG BEACH, CA                   30   57.0   58.3   59.7   63.0   65.9   69.8   73.8   75.1   73.4   68.6   61.8   57.1   65.3
23174LOS ANGELES AP, CA               30   57.1   58.0   58.3   60.8   63.1   66.4   69.3   70.7   70.1   66.9   61.6   57.6   63.3
93134LOS ANGELES C.O., CA             30   58.3   60.0   60.7   63.8   66.2   70.5   74.2   75.2   74.0   69.5   62.9   58.5   66.2
24215MOUNT SHASTA, CA                 30   35.3   38.2   41.2   46.3   53.2   60.2   66.1   65.1   59.5   50.5   39.9   34.8   49.2
04222REDDING, CA                      30   45.5   49.1   52.5   57.8   66.2   75.2   81.3   78.9   73.4   63.2   51.1   45.3   61.6
23232SACRAMENTO, CA                   30   46.3   51.2   54.5   58.9   65.5   71.5   75.4   74.8   71.7   64.4   53.3   45.8   61.1
23188SAN DIEGO, CA                    30   57.8   58.9   60.0   62.6   64.6   67.4   70.9   72.5   71.6   67.6   61.8   57.6   64.4
