NORMALS 1971-2000               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
13876BIRMINGHAM AP,AL                 30   52.8   58.3   66.5   74.1   81.0   87.5   90.6   90.2   84.6   74.9   64.5   56.0   73.4
63804HUNTSVILLE, AL                   30   48.9   54.6   63.4   72.3   79.6   86.5   89.4   89.0   83.0   72.9   61.6   52.4   71.1
13838MOBILE, AL                       30   60.7   64.5   71.2   77.4   84.2   89.4   91.2   90.8   86.8   79.2   70.1   62.9   77.4
13821MONTGOMERY, AL                   30   57.6   62.4   70.5   77.5   84.6   90.6   92.7   92.2   87.7   78.7   68.7   60.3   77.0
26451ANCHORAGE, AK                    30   22.2   25.8   33.6   43.9   54.9   62.3   65.3   63.3   55.0   40.0   27.7   23.7   43.1
25308ANNETTE, AK                      30   39.7   41.9   44.7   49.8   55.7   60.3   64.1   64.6   59.6   51.4   44.2   40.7   51.4
27516BARROW, AK                       30   -7.7   -9.8   -7.4    6.3   24.9   39.5   46.5   43.6   34.8   19.3    4.6   -4.7   15.8
26615BETHEL, AK                       30   12.4   13.9   21.8   33.3   49.4   59.4   63.1   59.7   51.7   35.3   23.1   15.6   36.6
26533BETTLES,AK                       30   -3.1    2.0   16.4   34.1   54.9   68.7   70.8   63.2   49.1   25.4    6.4    0.4   32.4
26415BIG DELTA,AK                     30    4.4   10.9   25.1   42.5   57.8   67.3   70.4   64.8   53.2   31.1   13.5    7.2   37.4
25624COLD BAY,AK                      30   32.8   32.3   35.1   38.2   44.9   50.8   55.1   56.2   52.5   45.0   39.1   35.5   43.1
26411FAIRBANKS, AK                    30   -0.3    8.0   25.0   43.6   60.6   70.9   73.0   66.3   54.3   31.4   11.2    3.3   37.3
26425GULKANA,AK                       30    3.5   13.8   28.2   42.4   55.6   65.0   68.5   64.5   53.4   34.3   13.2    6.4   37.4
25507HOMER, AK                        30   29.3   31.4   36.3   43.4   50.6   57.0   61.0   60.8   54.8   44.1   35.2   31.6   44.6
25309JUNEAU, AK                       30   30.6   34.3   39.5   48.1   55.7   61.6   64.3   63.1   56.1   46.9   37.6   33.0   47.6
25503KING SALMON, AK                  30   22.8   23.8   32.0   41.3   52.1   59.5   63.8   62.2   54.9   40.5   30.5   25.1   42.4
25501KODIAK, AK                       30   34.7   35.5   38.3   42.7   48.8   54.5   59.6   61.4   55.6   46.2   39.0   35.8   46.0
26616KOTZEBUE, AK                     30    3.7    3.0    7.2   19.6   37.8   50.8   60.0   56.7   46.4   27.5   13.3    6.0   27.7
26510MCGRATH, AK                      30    2.3   10.7   25.3   40.5   56.8   67.6   69.7   64.1   53.4   32.2   13.8    4.8   36.8
26617NOME, AK                         30   13.4   13.6   17.7   26.8   43.0   53.9   58.6   56.0   48.6   34.0   23.0   15.8   33.7
25713ST. PAUL ISLAND, AK              30   29.8   27.6   28.8   32.8   39.8   46.2   50.3   51.6   49.2   42.5   37.1   32.9   39.1
26528TALKEETNA, AK                    30   19.6   25.7   34.0   44.6   56.7   65.4   67.9   64.6   55.1   39.1   25.6   21.2   43.3
26627UNALAKLEET, AK                   30   10.5   12.7   19.6   31.5   46.9   55.2   62.0   59.6   51.3   33.6   20.2   13.6   34.7
26479VALDEZ, AK                       30   26.6   30.0   35.8   44.4   52.9   59.4   62.3   60.8   53.3   43.0   32.7   29.1   44.2
25339YAKUTAT, AK                      30   32.1   35.7   39.3   45.1   51.1   56.6   60.1   60.4   55.7   47.3   38.4   34.3   46.3
03103FLAGSTAFF, AZ                    30   42.9   45.6   50.3   58.4   67.6   78.7   82.2   79.7   73.8   63.1   50.8   43.7   61.4
53156PHOENIX, AZ                      30   67.3   71.4   76.1   84.7   93.9  103.9  106.6  104.5   99.0   87.7   75.0   67.1   86.4
53131TUCSON, AZ                       30   64.5   68.4   73.3   81.5   90.4  100.2   99.6   97.4   94.0   84.0   72.3   64.6   82.5
23194WINSLOW, AZ                      30   47.1   54.4   61.5   69.8   79.0   90.0   93.0   90.1   83.5   71.7   57.7   47.1   70.4
53154YUMA, AZ                         30   69.9   75.2   80.1   87.2   94.7  104.4  107.3  106.1  101.0   90.3   77.3   69.0   88.5
13964FORT SMITH, AR                   30   48.1   54.8   64.2   73.2   80.0   87.7   92.9   92.6   84.9   75.0   61.4   50.9   72.1
13963LITTLE ROCK, AR                  30   49.5   55.6   64.2   72.9   81.0   89.0   92.8   92.1   85.1   75.1   62.0   52.5   72.7
03952NORTH LITTLE ROCK, AR            30   49.1   55.1   64.1   73.2   80.5   88.6   93.5   92.6   85.0   74.8   61.6   51.9   72.5
23155BAKERSFIELD, CA                  30   56.3   63.5   68.3   75.7   83.8   91.6   96.9   95.4   89.4   79.5   65.3   56.1   76.8
23157BISHOP, CA                       30   53.6   58.4   64.3   72.1   81.2   91.5   97.9   95.8   87.6   76.0   62.4   54.3   74.6
24213EUREKA, CA.                      30   55.0   55.9   56.1   57.4   59.6   61.8   63.3   63.9   63.6   61.3   58.0   55.1   59.3
93193FRESNO, CA                       30   53.6   61.3   66.1   74.0   82.7   90.9   96.6   94.8   88.8   78.1   63.0   53.4   75.3
23129LONG BEACH, CA                   30   68.0   68.5   68.9   72.7   74.0   78.3   82.9   84.6   83.1   78.9   73.4   68.8   75.2
23174LOS ANGELES AP, CA               30   65.6   65.8   65.3   68.0   69.3   72.6   75.3   76.8   76.5   74.3   70.4   66.7   70.6
93134LOS ANGELES C.O., CA             30   68.1   69.6   69.8   73.1   74.5   79.5   83.8   84.8   83.3   79.0   73.2   68.7   75.6
24215MOUNT SHASTA, CA                 30   44.2   47.6   52.1   59.2   67.3   75.5   83.2   82.6   76.0   64.4   49.9   43.8   62.2
04222REDDING, CA                      30   55.4   60.1   63.9   70.6   80.7   90.7   98.5   96.9   90.2   78.4   62.4   55.6   75.3
23232SACRAMENTO, CA                   30   53.8   60.5   64.7   71.4   80.0   87.4   92.4   91.4   87.5   78.2   63.7   53.9   73.7
23188SAN DIEGO, CA                    30   65.8   66.3   66.3   68.7   69.3   72.2   75.8   77.5   77.0   74.0   69.9   66.3   70.8
23234SAN FRANCISCO AP, CA             30   55.9   59.3   61.2   64.3   66.8   69.9   71.1   71.7   72.7   69.7   62.0   56.1   65.1
23272SAN FRANCISCO C.O., CA           30   58.1   61.4   62.5   64.5   65.4   67.7   68.2   69.2   71.3   70.4   64.1   58.6   65.1
23190SANTA BARBARA, CA                30   65.4   66.3   67.4   70.1   71.2   74.4   76.7   78.7   78.2   75.4   71.0   66.4   71.8
23273SANTA MARIA, CA                  30   63.9   64.8   64.8   67.6   68.6   71.4   73.5   74.2   74.9   74.0   69.2   64.9   69.3
23237STOCKTON, CA                     30   53.8   61.2   66.1   73.3   81.3   88.9   93.8   92.6   88.2   78.6   64.0   53.8   74.6
23061ALAMOSA, CO                      30   33.1   40.2   49.6   58.7   68.3   78.4   81.7   78.9   72.5   61.7   45.7   34.8   58.6
93037COLORADO SPRINGS, CO             30   41.7   45.4   51.6   59.2   68.4   79.2   84.4   81.6   74.1   63.4   49.8   42.4   61.8
03017DENVER, CO                       30   43.2   47.2   53.7   60.9   70.5   82.1   88.0   86.0   77.4   66.0   51.5   44.1   64.2
03076GRAND JUNCTION, CO               30   36.6   45.4   55.7   64.3   74.5   86.9   92.1   89.6   80.3   66.7   49.8   38.9   65.1
93058PUEBLO, CO                       30   44.6   50.4   57.3   65.3   74.6   86.1   91.4   88.8   80.8   69.4   54.3   45.4   67.4
94702BRIDGEPORT, CT                   30   36.9   38.8   46.9   57.0   67.4   76.4   81.9   80.7   73.6   63.1   52.6   42.1   59.8
14752HARTFORD, CT                     30   34.1   37.7   47.7   59.9   71.7   80.0   84.9   82.5   74.3   63.1   50.9   39.0   60.5
13781WILMINGTON, DE                   30   39.3   42.5   51.9   62.6   72.5   81.1   86.0   84.1   77.2   65.9   55.0   44.4   63.5
