NORMALS 1971-2000               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
13876BIRMINGHAM AP,AL                 30   32.3   35.4   42.4   48.4   57.6   65.4   69.7   68.9   63.0   50.9   41.8   35.2   50.9
63804HUNTSVILLE, AL                   30   30.7   34.0   41.2   48.4   57.5   65.4   69.5   68.1   61.7   49.6   40.7   33.8   50.1
13838MOBILE, AL                       30   39.5   42.4   49.2   54.8   62.8   69.2   71.8   71.7   67.6   56.3   47.8   41.6   56.2
13821MONTGOMERY, AL                   30   35.5   38.6   45.4   51.2   60.1   67.3   70.9   70.1   64.9   52.2   43.5   37.6   53.1
26451ANCHORAGE, AK                    30    9.3   11.7   18.2   28.7   38.9   47.0   51.5   49.4   41.4   28.3   15.9   11.4   29.3
25308ANNETTE, AK                      30   30.4   32.3   34.2   37.7   43.1   48.3   52.4   52.6   48.0   41.7   35.1   32.1   40.7
27516BARROW, AK                       30  -19.6  -22.0  -20.0   -7.3   15.3   30.4   34.3   33.8   27.5    9.8   -6.4  -16.4    5.0
26615BETHEL, AK                       30    0.7    1.3    7.2   18.4   33.1   43.3   48.8   47.5   39.1   24.7   11.7    3.2   23.3
26533BETTLES,AK                       30  -19.2  -17.7   -8.0   10.6   33.7   46.9   49.5   43.7   32.8   11.9   -8.0  -15.1   13.4
26415BIG DELTA,AK                     30   -9.6   -6.4    3.2   21.7   37.7   47.6   51.1   46.1   35.6   17.0   -0.8   -7.1   19.7
25624COLD BAY,AK                      30   23.5   22.9   24.9   28.8   34.8   41.1   46.1   47.4   43.0   35.1   29.9   26.5   33.7
26411FAIRBANKS, AK                    30  -19.0  -15.6   -2.7   19.8   36.9   48.5   51.9   46.2   34.7   15.6   -6.6  -15.2   16.2
26425GULKANA,AK                       30  -12.9   -7.4    2.3   19.7   32.2   41.1   45.4   41.7   32.8   18.4   -2.2   -9.5   16.8
25507HOMER, AK                        30   17.5   18.3   22.5   29.3   36.7   43.0   47.2   46.7   41.0   31.4   23.5   20.0   31.4
25309JUNEAU, AK                       30   20.7   23.5   27.8   33.4   40.1   46.1   49.2   48.3   43.8   37.7   28.9   24.4   35.3
25503KING SALMON, AK                  30    8.0    7.4   15.1   24.9   34.8   42.2   47.5   47.4   40.3   26.0   15.9    9.3   26.6
25501KODIAK, AK                       30   24.6   24.3   26.8   31.8   38.2   43.9   48.5   48.6   43.2   34.3   28.9   25.3   34.9
26616KOTZEBUE, AK                     30   -8.6   -9.9   -7.7    3.3   25.3   38.8   49.4   47.4   37.2   18.8    3.2   -6.4   15.9
