     DATA THROUGH 2011               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
03883BIRMINGHAM C.O.,AL               10     48     48     62     61     64     63     60     62     57     63     49     52     57
13876BIRMINGHAM AP,AL                 34     42     50     54     63     66     65     59     63     61     66     55     46     58
13895MONTGOMERY, AL                   45     47     52     59     65     63     62     61     63     62     64     55     49     59
26451ANCHORAGE, AK                    40     34     42     50     50     50     46     43     39     38     36     32     27     41
25309JUNEAU, AK                       33     32     32     37     39     39     34     31     32     26     19     23     20     30
26617NOME, AK                         40     40     55     54     54     50     43     37     32     36     34     31     34     42
03103FLAGSTAFF, AZ                    15     77     73     76     82     88     86     75     76     81     79     75     73     78
23183PHOENIX, AZ                     101     78     80     84     89     93     94     85     85     89     88     83     77     85
23160TUCSON, AZ                       53     80     82     86     90     92     93     78     80     87     88     84     79     85
23195YUMA, AZ                         42     84     87     90     94     95     97     91     91     93     92     87     82     90
13964FORT SMITH, AR                   51     50     55     56     60     62     69     73     72     66     65     54     50     61
13963LITTLE ROCK, AR                  32     46     54     57     62     68     73     71     73     68     69     56     48     62
03952NORTH LITTLE ROCK, AR            32     66     66     74     78     76     81     82     80     81     76     67     63     74
24213EUREKA, CA.                      84     43     46     52     57     58     59     55     51     55     50     44     41     51
93193FRESNO, CA                       46     47     65     77     85     90     95     97     96     94     88     66     46     79
93134LOS ANGELES C.O., CA             32     69     72     73     70     66     65     82     83     79     73     74     71     73
24257REDDING, CA                      10     72     82     85     90     91     94     97     97     94     92     84     73     88
23232SACRAMENTO, CA                   46     48     65     74     82     90     94     97     96     93     86     66     49     78
23188SAN DIEGO, CA                    56     72     71     70     68     59     58     68     70     69     68     75     73     68
23272SAN FRANCISCO C.O., CA           38     56     62     69     73     72     73     66     65     72     70     62     53     66
03017DENVER, CO                       49     71     69     69     67     64     70     71     71     74     72     64     67     69
23066GRAND JUNCTION, CO               56     61     65     65     70     73     81     79     77     79     74     63     61     71
93058PUEBLO, CO                       61     75     74     74     74     73     78     79     78     80     79     72     71     76
14740HARTFORD, CT                     42     53     56     57     55     57     60     62     62     59     57     45     47     56
13743WASHINGTON NAT'L AP, D.C.        50     46     50     55     57     58     64     62     62     61     59     51     46     56
12832APALACHICOLA, FL                 57     58     61     65     74     77     71     64     64     66     74     67     57     67
13889JACKSONVILLE, FL                 50     58     62     68     73     70     66     65     64     58     60     60     54     63
12836KEY WEST, FL                     38     74     77     82     84     82     76     77     76     72     71     71     70     76
12839MIAMI, FL                        20     66     68     74     76     72     68     72     71     70     70     67     63     70
13899PENSACOLA, FL                     5     48     53     61     63     67     67     57     58     60     71     64     49     60
12842TAMPA, FL                        58     65     66     71     75     75     67     62     62     62     66     64     61     66
13874ATLANTA, GA                      65     49     54     58     66     68     67     63     64     62     66     58     50     60
03813MACON, GA                        48     56     61     65     73     71     70     67     71     67     69     64     57     66
03822SAVANNAH, GA                     46     54     57     62     71     68     65     64     62     58     63     61     55     62
21504HILO, HI                         56     46     46     42     37     38     44     41     42     43     39     33     37     41
22521HONOLULU,HI                      46     65     68     72     70     72     74     76     77     77     70     65     63     71
22516KAHULUI, HI                      37     64     64     64     63     68     72     71     71     73     68     62     63     67
22536LIHUE, HI                        58     55     57     59     55     61     63     62     65     68     60     49     49     59
24131BOISE, ID                        60     40     50     62     68     70     75     87     85     82     69     43     38     64
24156POCATELLO, ID                    53     40     53     61     66     67     75     83     81     80     72     47     40     64
93809CAIRO,IL                         45     45     50     56     62     65     72     74     75     69     67     51     44     61
94846CHICAGO,IL                       16     44     49     51     50     58     67     66     62     59     55     38     43     54
14923MOLINE, IL                       53     48     50     50     53     57     63     68     66     62     58     42     40     55
14842PEORIA, IL                       52     47     50     51     55     60     67     69     67     64     61     43     42     56
93822SPRINGFIELD, IL                  48     48     52     51     56     63     68     71     70     68     63     48     44     59
93817EVANSVILLE, IN                   56     42     48     55     60     64     71     73     73     69     65     48     42     59
14827FORT WAYNE, IN                   52     46     51     55     60     68     74     75     74     68     62     42     38     59
93819INDIANAPOLIS, IN                 53     40     49     50     54     60     65     66     68     65     61     41     38     55
14933DES MOINES, IA                   57     51     54     57     56     61     68     72     70     66     62     49     45     59
14943SIOUX CITY, IA                   55     57     56     57     59     61     67     73     70     66     63     51     50     61
13984CONCORDIA, KS                    34     64     63     63     65     67     76     78     76     70     68     59     57     67
13985DODGE CITY, KS                   66     67     65     65     68     67     74     79     78     74     73     66     65     70
13996TOPEKA, KS                       53     56     55     57     58     61     66     71     70     66     64     54     52     61
03928WICHITA, KS                      55     58     61     62     64     64     69     76     75     68     64     58     57     65
93814GREATER CINCINNATI AP            13     33     40     48     56     57     61     61     61     61     54     36     31     50
93821LOUISVILLE, KY                   48     41     48     51     56     60     66     67     66     64     61     46     40     56
03816PADUCAH KY                       19     45     49     55     62     64     61     71     71     64     65     51     42     58
03937LAKE CHARLES, LA                 19     62     66     74     71     72     78     83     81     78     75     67     59     72
12916NEW ORLEANS, LA                  22     46     50     56     62     62     63     58     61     61     64     54     48     57
13957SHREVEPORT, LA                   53     51     56     58     60     63     70     75     74     70     68     60     54     63
14764PORTLAND, ME                     55     56     59     56     54     54     59     63     63     62     58     48     53     57
93721BALTIMORE, MD                    40     51     55     56     56     56     62     64     62     60     58     51     49     57
14753BLUE HILL, MA                   114     46     50     48     49     52     55     57     58     56     55     47     46     52
14739BOSTON, MA                       61     53     56     57     56     58     63     65     65     63     60     50     52     58
94849ALPENA, MI                       37     36     45     53     52     59     63     65     59     51     42     28     28     48
94847DETROIT, MI                      31     40     46     52     54     61     66     68     67     61     51     35     31     53
94860GRAND RAPIDS, MI                 36     28     39     46     51     56     62     64     61     54     44     27     23     46
14836LANSING, MI                      42     36     44     49     52     61     65     69     64     59     50     31     29     51
94850MARQUETTE, MI                    24     37     44     50     52     62     66     67     63     57     46     36     35     51
14847SAULT STE. MARIE, MI             55     36     47     55     54     57     58     62     58     45     38     24     27     47
14913DULUTH, MN                       48     48     53     55     56     57     58     65     61     52     46     35     39     52
14922MINNEAPOLIS-ST.PAUL, MN          58     53     59     57     58     61     66     72     69     62     55     39     42     58
03940JACKSON, MS                      33     49     54     60     66     63     70     66     67     65     70     57     49     61
93862TUPELO, MS                       13     53     53     61     73     72     74     75     73     72     62     51     46     64
03945COLUMBIA, MO                     27     50     49     50     55     57     64     67     64     60     59     47     45     56
03947KANSAS CITY, MO                  23     58     55     58     62     61     66     72     67     66     60     49     49     60
13994ST. LOUIS, MO                    37     50     52     54     56     59     66     68     65     63     60     46     43     57
13995SPRINGFIELD, MO                  57     50     52     56     59     60     65     71     71     67     64     52     48     60
24033BILLINGS, MT                     57     47     53     61     60     61     64     76     75     68     61     46     45     60
24143GREAT FALLS, MT                  46     49     56     66     62     62     65     79     76     67     61     46     44     61
24144HELENA, MT                       55     46     55     61     59     60     64     78     74     67     60     44     42     59
24153MISSOULA, MT                     57     33     44     54     57     59     63     81     77     69     55     34     29     55
14939LINCOLN, NE                      40     58     57     57     58     61     69     73     70     66     63     53     52     61
24023NORTH PLATTE, NE                 54     63     63     62     64     65     71     77     75     72     70     60     61     67
94918OMAHA (NORTH), NE                57     55     53     54     58     61     67     74     70     68     65     51     48     60
24032VALENTINE, NE                    29     63     62     59     59     62     69     76     76     71     68     60     60     65
23154ELY, NV                          56     68     68     71     70     72     80     80     81     82     75     67     67     73
23169LAS VEGAS, NV                    47     77     81     83     87     88     93     88     88     91     87     81     78     85
23185RENO, NV                         45     65     68     75     80     81     85     92     92     91     83     70     64     79
24128WINNEMUCCA, NV                   42     51     56     60     66     72     77     86     85     82     74     54     52     68
14745CONCORD, NH                      58     52     55     53     53     55     58     62     60     56     53     42     47     54
14755MT. WASHINGTON, NH               73     32     35     34     34     36     32     30     31     35     38     29     30     33
93730ATLANTIC CITY AP, NJ             36     50     53     55     56     56     60     61     65     61     59     51     47     56
23050ALBUQUERQUE, NM                  63     72     72     73     77     79     83     76     75     79     79     76     71     76
23009ROSWELL, NM                       7     60     68     75     77     80     83     77     73     72     77     73     71     74
14735ALBANY, NY                       64     46     52     54     54     56     60     64     61     57     52     37     39     53
04725BINGHAMTON, NY                   51     37     42     46     50     56     62     64     61     55     49     32     29     49
14733BUFFALO, NY                      66     31     38     46     51     56     65     67     64     57     50     29     27     48
94728NEW YORK C.PARK, NY             109     51     55     57     58     61     64     65     64     62     61     52     49     58
14768ROCHESTER, NY                    57     35     41     49     53     59     66     69     66     59     49     31     30     51
14771SYRACUSE, NY                     60     33     39     47     49     55     59     63     59     54     44     27     25     46
03812ASHEVILLE, NC                    32     55     59     61     66     61     62     60     54     56     61     58     55     59
93729CAPE HATTERAS, NC                33     48     52     60     67     65     65     65     65     64     60     56     48     60
13881CHARLOTTE, NC                    48     54     58     61     68     67     67     67     65     64     65     58     55     62
13723GREENSBORO-WNSTN-SALM-HGHPT,NC   68     51     56     60     63     63     64     62     61     62     64     57     53     60
13722RALEIGH, NC                      42     52     56     60     63     59     60     60     58     58     60     57     53     58
13748WILMINGTON, NC                   51     56     59     64     70     67     66     64     62     61     64     63     59     63
24011BISMARCK, ND                     63     53     53     58     58     61     64     73     72     65     58     43     47     59
14914FARGO, ND                        54     50     56     58     60     61     62     71     69     60     54     40     43     57
